foodbankID,foodbankName,address,peopleServedMonthly,dateFounded,ownerEmail
1,Wordify,0175 Becker Hill,402,11/12/2023,msanzio0@spiegel.de
2,Twinder,30341 Myrtle Avenue,394,1/19/2024,slorkins1@tmall.com
3,Rhycero,121 Novick Plaza,379,4/26/2023,arickhuss2@joomla.org
4,Vipe,443 Rowland Alley,33,7/14/2023,karnoll3@soundcloud.com
5,Fatz,388 5th Pass,921,7/14/2023,yraistrick4@ucla.edu
6,Oyoyo,18 Sherman Parkway,654,1/24/2024,erowbottam5@apple.com
7,Pixope,54 Fieldstone Terrace,860,9/11/2023,fsanday6@addtoany.com
8,Twitterworks,85 Longview Avenue,208,9/4/2023,mtoffanini7@w3.org
9,Fadeo,35 Everett Point,713,5/16/2023,msmedmore8@vistaprint.com
10,Quimba,80 Scott Avenue,729,6/27/2023,bperrie9@free.fr
11,Dabjam,7601 Bunker Hill Way,533,6/18/2023,lwollarda@deviantart.com
12,Linkbuzz,95 Monument Terrace,701,10/7/2023,hhounshamb@github.io
13,Edgepulse,955 Mariners Cove Alley,996,3/16/2024,bbrickc@opensource.org
14,Lazzy,3 Kedzie Crossing,192,10/4/2023,obotgerd@shop-pro.jp
15,Zoonoodle,163 Service Parkway,22,10/20/2023,cspearinge@dropbox.com
16,Mynte,032 Stoughton Avenue,797,5/18/2023,eguestf@purevolume.com
17,Rhycero,7 Monica Plaza,468,8/6/2023,klimerickg@mapquest.com
18,Cogilith,15 Dawn Junction,615,11/3/2023,lborgneh@seesaa.net
19,Voonix,38374 Kenwood Park,968,11/16/2023,tmarchenkoi@examiner.com
20,Shuffledrive,98069 Mockingbird Circle,662,1/17/2024,gstanneringj@yandex.ru
21,Skyvu,83151 Barnett Place,289,11/9/2023,whussetk@go.com
22,Blogspan,8 Dakota Way,251,2/17/2024,aeylesl@histats.com
23,Mymm,8 Almo Road,904,4/23/2023,srhoddiem@ocn.ne.jp
24,Kimia,7158 Pearson Parkway,748,1/28/2024,ceverlyn@japanpost.jp
25,Brightdog,809 Dakota Hill,168,12/18/2023,croseo@ebay.com
26,Tazzy,93342 Eastwood Way,562,7/10/2023,adalgettyp@jimdo.com
27,Flashspan,8799 Mcbride Point,496,11/18/2023,schismanq@domainmarket.com
28,Yakijo,21 Heath Lane,523,1/17/2024,dgailorr@wikispaces.com
29,Dabvine,10110 Mifflin Lane,141,12/25/2023,ctorres@macromedia.com
30,Jayo,28 Heffernan Lane,147,3/2/2024,sberkelayt@prnewswire.com
31,Wordtune,0249 2nd Park,114,3/4/2024,mmquhargu@google.pl
32,Gigashots,2 Green Hill,996,12/23/2023,nkorfmannv@mail.ru
33,Voomm,7115 Anzinger Place,656,12/17/2023,lemettw@taobao.com
