visitorID,dateVisited,hours,foodbankAddress,foodbankID
859,2/16/2024,8,5 Scoville Place,170
4,2/19/2024,0,5 Melvin Trail,561
280,2/8/2024,3,49840 Arapahoe Court,61
535,7/16/2023,5,187 Heath Junction,393
665,2/24/2024,4,58229 Johnson Place,390
736,8/21/2023,3,76447 Novick Park,309
681,10/31/2023,6,5618 Riverside Street,494
674,12/15/2023,7,80 Little Fleur Plaza,315
377,10/15/2023,4,66 Mosinee Road,481
178,11/2/2023,0,38056 Westport Terrace,402
786,4/27/2023,7,019 Division Court,473
857,8/10/2023,6,2401 Forest Run Drive,525
682,11/4/2023,7,55178 Sycamore Road,230
708,1/19/2024,4,92052 Butterfield Hill,143
854,9/23/2023,7,13783 Anzinger Circle,598
295,6/4/2023,7,81689 North Point,374
998,2/21/2024,0,3830 Pleasure Parkway,996
706,1/3/2024,3,4265 Ridgeview Court,719
626,4/30/2023,0,1266 Kinsman Hill,664
155,3/22/2024,4,3132 Norway Maple Way,655
53,9/14/2023,2,05 Springview Drive,847
786,1/16/2024,0,2 Caliangt Park,728
956,5/28/2023,6,716 Sommers Avenue,735
121,12/18/2023,5,148 Troy Alley,457
379,6/9/2023,0,960 Hollow Ridge Place,568
131,10/22/2023,1,6886 Cambridge Junction,187
219,10/5/2023,4,71 Tennessee Hill,298
949,11/18/2023,2,507 East Terrace,870
979,4/27/2023,7,01856 Fisk Parkway,618
447,6/18/2023,2,79 4th Road,636
850,4/3/2024,1,3 Crownhardt Way,625
128,7/17/2023,1,829 Mockingbird Trail,302
851,2/14/2024,5,662 Porter Place,810
379,12/9/2023,4,09043 Dawn Court,340
279,4/26/2023,6,9 Dakota Lane,399
617,2/29/2024,8,2 Morningstar Center,911
706,8/25/2023,6,174 Blue Bill Park Alley,258
185,10/16/2023,7,765 Bultman Circle,733
921,4/28/2023,7,9627 John Wall Avenue,90
237,1/14/2024,0,0 Longview Lane,860
891,10/3/2023,8,775 Bunting Street,481
16,1/8/2024,3,01 Magdeline Crossing,928
609,2/11/2024,7,39096 Springs Court,558
868,12/16/2023,1,85874 Fair Oaks Park,858
388,8/22/2023,8,49209 Burrows Way,557
625,3/10/2024,5,9 Quincy Junction,360
682,1/8/2024,8,50 Boyd Street,131
259,7/16/2023,1,8 Dakota Pass,453
591,9/9/2023,4,79 Upham Crossing,510
779,11/2/2023,6,527 Lillian Park,638
616,3/19/2024,4,525 Vidon Parkway,46
545,3/23/2024,3,9257 Jenna Center,975
143,12/12/2023,1,451 Lyons Plaza,535
986,8/28/2023,7,02224 Di Loreto Circle,210
935,1/17/2024,3,56468 Hanover Circle,208
834,3/11/2024,2,79 Mallard Drive,82
314,6/10/2023,2,8 Graceland Trail,575
323,5/26/2023,5,97 Morning Lane,304
816,10/10/2023,7,1 Village Green Drive,277
366,8/26/2023,1,709 Melby Trail,837
835,12/10/2023,7,12 Knutson Trail,449
811,7/8/2023,6,775 Northfield Park,463
447,10/9/2023,8,07 Jackson Alley,921
684,12/28/2023,5,6 Columbus Drive,763
474,3/4/2024,4,5328 Gulseth Junction,886
387,8/31/2023,4,2 Thompson Lane,596
966,3/10/2024,2,50097 Larry Point,868
77,12/2/2023,0,724 Vera Way,408
645,2/19/2024,5,18713 Surrey Way,509
487,4/11/2023,1,2146 Lien Terrace,113
933,4/7/2024,6,8 Bartillon Junction,836
992,12/14/2023,5,28 Norway Maple Way,449
810,11/4/2023,2,62 Rigney Terrace,44
330,4/30/2023,6,65 Leroy Crossing,474
26,6/11/2023,8,8 Talisman Avenue,704
121,12/26/2023,1,352 Hollow Ridge Road,983
910,4/11/2023,5,76 Little Fleur Plaza,32
773,8/13/2023,2,8988 4th Pass,505
493,3/19/2024,6,52 Melby Alley,870
197,2/7/2024,4,93992 Golf Street,75
502,8/15/2023,7,7 Buell Trail,446
118,5/2/2023,4,974 Mallory Park,93
128,9/19/2023,0,9334 Di Loreto Road,590
664,5/25/2023,3,06247 Fremont Alley,922
468,8/23/2023,3,087 Pine View Plaza,303
695,5/30/2023,1,5317 Gina Way,394
734,11/1/2023,7,33 Commercial Parkway,361
663,12/28/2023,7,57 Roth Parkway,911
703,2/23/2024,5,204 Waxwing Center,416
750,2/23/2024,7,46 Armistice Crossing,91
171,1/1/2024,2,25 Hintze Pass,397
899,7/2/2023,8,3 Scoville Road,232
625,5/2/2023,3,61 Tennessee Center,601
373,1/23/2024,5,38 Susan Trail,721
623,4/12/2023,7,085 Vera Road,464
171,3/20/2024,6,734 Lindbergh Trail,923
596,12/12/2023,6,26839 Mosinee Pass,16
630,2/27/2024,3,492 Armistice Center,843
936,11/19/2023,6,6 Farmco Point,634
375,8/21/2023,4,2821 Westridge Court,58
542,9/6/2023,6,2 Dottie Street,707
639,6/10/2023,0,128 Browning Trail,790
543,3/8/2024,3,12 Spaight Junction,638
327,10/28/2023,1,66 Moose Hill,35
508,10/1/2023,5,96463 Delladonna Hill,843
548,6/8/2023,5,45 Sauthoff Parkway,577
792,3/2/2024,5,094 Katie Pass,257
268,11/17/2023,3,0745 Loftsgordon Way,664
851,3/16/2024,4,392 Barby Trail,576
747,4/30/2023,6,597 Chinook Alley,690
742,10/29/2023,7,39097 Rockefeller Way,261
629,9/28/2023,0,33 Blackbird Junction,586
363,4/15/2023,3,4308 Express Street,425
85,11/5/2023,8,3 Granby Parkway,699
273,12/26/2023,0,07 Kedzie Plaza,325
699,12/7/2023,3,206 Holmberg Crossing,519
861,1/5/2024,4,340 Weeping Birch Crossing,96
740,7/24/2023,8,9861 Dexter Pass,948
319,7/2/2023,8,06 Old Gate Center,338
859,10/22/2023,1,1728 Saint Paul Drive,96
276,1/3/2024,5,63603 Messerschmidt Crossing,882
217,6/22/2023,7,24674 Lerdahl Trail,213
258,1/29/2024,7,47 Jenna Place,681
838,5/1/2023,4,09850 Carberry Crossing,135
796,12/21/2023,6,5220 Nobel Avenue,429
793,4/30/2023,1,95 Messerschmidt Lane,794
588,9/30/2023,1,4 Grover Place,856
140,6/4/2023,1,82 Longview Pass,670
437,4/15/2023,1,7876 Buhler Center,291
99,5/10/2023,7,69 Riverside Alley,453
544,4/29/2023,7,0 Chive Trail,302
518,5/4/2023,6,7 Pennsylvania Avenue,928
532,4/29/2023,0,885 Fallview Plaza,107
109,6/12/2023,6,1 Erie Drive,45
3,5/18/2023,6,54 Red Cloud Crossing,792
645,6/6/2023,2,78096 Namekagon Junction,996
451,9/15/2023,1,6901 Riverside Pass,552
